Item,Data Element,Type,Max Length,Format,Description,Definition,File,Min_Date,Max_Date,Record_Type,pandas_dtype,polars_dtype
1,Record Type = HP,Character,2,,,File Header Record,platmonPS_PLATINUM PORTFOLIO ENHANCED SUPPLEMENTAL Layout V2.1 (Oct 2021 - Jul 2022).pdf,2021-10-01,2022-07-01,HP,,
2,Reporting Period,Numeric,6,YYYYMM,,The monthly reporting period for the data in the file.,platmonPS_PLATINUM PORTFOLIO ENHANCED SUPPLEMENTAL Layout V2.1 (Oct 2021 - Jul 2022).pdf,2021-10-01,2022-07-01,HP,,
3,Create Date,Date,8,YYYYMMDD,,The date that the file is produced.,platmonPS_PLATINUM PORTFOLIO ENHANCED SUPPLEMENTAL Layout V2.1 (Oct 2021 - Jul 2022).pdf,2021-10-01,2022-07-01,HP,,
1,Record Type = PS,Character,2,,,Platinum Pool/Security Detail Record,platmonPS_PLATINUM PORTFOLIO ENHANCED SUPPLEMENTAL Layout V2.1 (Oct 2021 - Jul 2022).pdf,2021-10-01,2022-07-01,PS,,
2,CUSIP Number,Character,9,,,"The unique identification number permanently assigned by the
Committee on Uniform Securities Identification Procedures
(CUSIP).",platmonPS_PLATINUM PORTFOLIO ENHANCED SUPPLEMENTAL Layout V2.1 (Oct 2021 - Jul 2022).pdf,2021-10-01,2022-07-01,PS,,
3,Pool ID,Character,6,,,"The Ginnie Mae unique identifier for the pool; this is assigned by
Ginnie Mae at pool issuance.",platmonPS_PLATINUM PORTFOLIO ENHANCED SUPPLEMENTAL Layout V2.1 (Oct 2021 - Jul 2022).pdf,2021-10-01,2022-07-01,PS,,
4,Pool Indicator,Character,1,,,"Identifies the Issue Type of the pool. Values are X, C, or M.",platmonPS_PLATINUM PORTFOLIO ENHANCED SUPPLEMENTAL Layout V2.1 (Oct 2021 - Jul 2022).pdf,2021-10-01,2022-07-01,PS,,
5,Pool Type,Character,2,,,"The type of Ginnie Mae pool. Appendix 1 provides a listing of
pool types.",platmonPS_PLATINUM PORTFOLIO ENHANCED SUPPLEMENTAL Layout V2.1 (Oct 2021 - Jul 2022).pdf,2021-10-01,2022-07-01,PS,,
6,Issue Date,Date,8,YYYYMMDD,,The date that the pool was issued,platmonPS_PLATINUM PORTFOLIO ENHANCED SUPPLEMENTAL Layout V2.1 (Oct 2021 - Jul 2022).pdf,2021-10-01,2022-07-01,PS,,
7,Security Interest Rate,Numeric,6,2.3,,"The interest rate of the Ginnie Mae Security. For ARM pools this
is the rate in effect for the report period.",platmonPS_PLATINUM PORTFOLIO ENHANCED SUPPLEMENTAL Layout V2.1 (Oct 2021 - Jul 2022).pdf,2021-10-01,2022-07-01,PS,,
